episode,reward,steps,laps,lap_time_steps,collisions,completed,epsilon,mean_loss,termination_reason,lap_time_seconds
1,-66.0,70,0,,1,False,0.9985222222222222,,collision,
2,-56.0,53,0,,1,False,0.9974033333333333,,collision,
3,-47.0,72,0,,1,False,0.9958833333333333,,collision,
4,-62.0,48,0,,1,False,0.99487,,collision,
5,-35.0,76,0,,1,False,0.9932655555555555,,collision,
6,-28.0,72,0,,1,False,0.9917455555555555,,collision,
7,-59.0,67,0,,1,False,0.9903311111111112,,collision,
8,-75.0,38,0,,1,False,0.9895288888888889,,collision,
9,-10.0,89,0,,1,False,0.98765,,collision,
10,-63.0,67,0,,1,False,0.9862355555555555,,collision,
11,-77.0,87,0,,1,False,0.9843988888888889,,collision,
12,-86.0,111,0,,1,False,0.9820555555555556,1.934433356523514,collision,
13,-62.0,109,0,,1,False,0.9797544444444445,2.1549836132261486,collision,
14,-81.0,79,0,,1,False,0.9780866666666667,2.6254548341035844,collision,
15,-80.0,37,0,,1,False,0.9773055555555555,1.6944186356332567,collision,
16,-54.0,65,0,,1,False,0.9759333333333333,1.999334051328547,collision,
17,-23.0,111,0,,1,False,0.97359,1.6888472945601851,collision,
18,-60.0,65,0,,1,False,0.9722177777777777,1.1894765864400303,collision,
19,-33.0,63,0,,1,False,0.9708877777777778,2.014276421070099,collision,
20,-67.0,49,0,,1,False,0.9698533333333333,2.100525681789105,collision,
21,-73.0,60,0,,1,False,0.9685866666666667,1.2452581857641538,collision,
22,-35.0,61,0,,1,False,0.9672988888888889,1.195946455001831,collision,
23,-66.0,71,0,,1,False,0.9658,2.343599103805092,collision,
24,-49.0,65,0,,1,False,0.9644277777777778,1.3422703985124826,collision,
25,-80.0,62,0,,1,False,0.9631188888888889,0.934453030427297,collision,
26,-56.0,56,0,,1,False,0.9619366666666667,1.7550036273896694,collision,
27,-16.0,69,0,,1,False,0.96048,2.2351411233345666,collision,
28,-78.0,69,0,,1,False,0.9590233333333333,1.853496542748283,collision,
29,-65.0,53,0,,1,False,0.9579044444444444,1.7701548429635854,collision,
30,-54.0,71,0,,1,False,0.9564055555555555,1.4877772550616,collision,
31,-57.0,73,0,,1,False,0.9548644444444444,1.5853801497982607,collision,
32,-64.0,67,0,,1,False,0.95345,1.3385540505542475,collision,
33,-60.0,80,0,,1,False,0.9517611111111111,1.8593120072036982,collision,
34,-28.0,77,0,,1,False,0.9501355555555555,1.3176557194245488,collision,
35,-64.0,54,0,,1,False,0.9489955555555556,0.9557083179908139,collision,
36,-72.0,43,0,,1,False,0.9480877777777778,1.8223029375076294,collision,
37,-11.0,93,0,,1,False,0.9461244444444444,1.6597435899699728,collision,
38,-80.0,53,0,,1,False,0.9450055555555555,1.3411127414840918,collision,
39,-69.0,43,0,,1,False,0.9440977777777778,1.104624835604971,collision,
40,-22.0,81,0,,1,False,0.9423877777777778,2.01752663590014,collision,
41,-78.0,75,0,,1,False,0.9408044444444444,1.521307478217702,collision,
42,-64.0,46,0,,1,False,0.9398333333333333,1.1949485929852182,collision,
43,-59.0,54,0,,1,False,0.9386933333333334,0.9376767171280724,collision,
44,-83.0,78,0,,1,False,0.9370466666666667,1.5495123408342664,collision,
45,-23.0,92,0,,1,False,0.9351044444444444,1.4815081027538881,collision,
46,-65.0,50,0,,1,False,0.9340488888888889,1.8642188631571257,collision,
47,-57.0,52,0,,1,False,0.9329511111111111,2.13319660952458,collision,
48,-71.0,44,0,,1,False,0.9320222222222222,2.1044601134278555,collision,
49,-76.0,51,0,,1,False,0.9309455555555556,1.8540335694948833,collision,
50,-46.0,68,0,,1,False,0.9295100000000001,1.2220546086044872,collision,
51,-66.0,44,0,,1,False,0.9285811111111111,1.4451644319024952,collision,
52,-67.0,47,0,,1,False,0.9275888888888889,1.7472689989954233,collision,
53,-73.0,43,0,,1,False,0.9266811111111111,1.2115354612469673,collision,
54,-6.0,80,0,,1,False,0.9249922222222222,2.241966539993882,collision,
55,-62.0,65,0,,1,False,0.92362,2.3924443456344306,collision,
56,-53.0,73,0,,1,False,0.9220788888888889,0.8867287023199929,collision,
57,-54.0,60,0,,1,False,0.9208122222222223,1.968195611735185,collision,
58,-59.0,52,0,,1,False,0.9197144444444445,1.21050729487951,collision,
59,-69.0,39,0,,1,False,0.9188911111111111,1.9036637499928475,collision,
60,-76.0,44,0,,1,False,0.9179622222222222,1.8267053805968978,collision,
61,-72.0,82,0,,1,False,0.9162311111111111,2.001975890426409,collision,
62,-72.0,47,0,,1,False,0.9152388888888889,0.977253292771903,collision,
63,-60.0,78,0,,1,False,0.9135922222222222,1.912124852463603,collision,
64,-65.0,41,0,,1,False,0.9127266666666667,1.0617611926048993,collision,
65,-20.0,79,0,,1,False,0.9110588888888889,2.3497029107064007,collision,
66,-59.0,83,0,,1,False,0.9093066666666667,1.747318176286561,collision,
67,-67.0,39,0,,1,False,0.9084833333333333,1.7607504096296098,collision,
68,-64.0,65,0,,1,False,0.9071111111111111,2.2584525795982167,collision,
69,-9.0,82,0,,1,False,0.90538,2.48351018615067,collision,
70,-56.0,61,0,,1,False,0.9040922222222222,1.793710815658172,collision,
71,-77.0,39,0,,1,False,0.9032688888888889,1.831608735769987,collision,
72,-49.0,78,0,,1,False,0.9016222222222222,1.8523412521928548,collision,
73,-65.0,67,0,,1,False,0.9002077777777778,1.6473749317228794,collision,
74,-56.0,83,0,,1,False,0.8984555555555556,1.7772975136481581,collision,
75,-35.0,59,0,,1,False,0.89721,1.3544511939088504,collision,
76,-67.0,69,0,,1,False,0.8957533333333333,1.583724734976011,collision,
77,-79.0,71,0,,1,False,0.8942544444444445,2.4797790029810534,collision,
78,-56.0,56,0,,1,False,0.8930722222222223,1.8684477401631219,collision,
79,-66.0,58,0,,1,False,0.8918477777777778,2.5778430828026364,collision,
80,-60.0,58,0,,1,False,0.8906233333333333,1.2205629075566928,collision,
81,-79.0,55,0,,1,False,0.8894622222222223,2.4399457009775296,collision,
82,-30.0,63,0,,1,False,0.8881322222222222,1.6274356534083685,collision,
83,-62.0,48,0,,1,False,0.8871188888888889,2.6741725895553827,collision,
84,-70.0,43,0,,1,False,0.8862111111111111,1.6314751167188992,collision,
85,-59.0,73,0,,1,False,0.8846700000000001,1.4829588193032477,collision,
86,-67.0,43,0,,1,False,0.8837622222222222,0.8952454057606783,collision,
87,-58.0,52,0,,1,False,0.8826644444444445,2.2946273581339764,collision,
88,-15.0,118,0,,1,False,0.8801733333333334,1.7288162921865782,collision,
89,-52.0,69,0,,1,False,0.8787166666666667,1.2666179375613438,collision,
90,-10.0,85,0,,1,False,0.8769222222222223,1.4944395770629246,collision,
91,-70.0,77,0,,1,False,0.8752966666666666,1.5586264366774183,collision,
92,-42.0,51,0,,1,False,0.87422,2.5669978068998227,collision,
93,-51.0,80,0,,1,False,0.8725311111111111,1.801977058313787,collision,
94,-20.0,82,0,,1,False,0.8708,2.375801859867005,collision,
95,-25.0,76,0,,1,False,0.8691955555555555,1.1659223860815953,collision,
96,-63.0,43,0,,1,False,0.8682877777777778,1.2446486957371234,collision,
97,-37.0,67,0,,1,False,0.8668733333333334,1.9010645672678947,collision,
98,-57.0,67,0,,1,False,0.8654588888888889,1.5773740121546913,collision,
99,-59.0,49,0,,1,False,0.8644244444444444,2.1288490888352194,collision,
100,-41.0,55,0,,1,False,0.8632633333333334,1.530554089429123,collision,
101,-60.0,59,0,,1,False,0.8620177777777778,1.9016930490732193,collision,
102,-59.0,55,0,,1,False,0.8608566666666667,1.2973797966081362,collision,
103,-24.0,70,0,,1,False,0.8593788888888889,1.273291101058324,collision,
104,-36.0,55,0,,1,False,0.8582177777777777,2.0157273869429315,collision,
105,-53.0,78,0,,1,False,0.8565711111111112,1.8126654762186503,collision,
106,-61.0,59,0,,1,False,0.8553255555555556,1.5839692930380502,collision,
107,-24.0,86,0,,1,False,0.85351,2.1389940304770354,collision,
108,-40.0,59,0,,1,False,0.8522644444444445,1.6282406489054362,collision,
109,-78.0,44,0,,1,False,0.8513355555555555,1.8621546585451474,collision,
110,-26.0,63,0,,1,False,0.8500055555555556,1.7703912663273513,collision,
111,-30.0,64,0,,1,False,0.8486544444444445,1.8478814552072436,collision,
112,62.0,128,0,,1,False,0.8459522222222222,1.872245773440227,collision,
113,-22.0,75,0,,1,False,0.844368888888889,2.1521472879930545,collision,
114,-62.0,58,0,,1,False,0.8431444444444445,1.6420732699334621,collision,
115,-71.0,42,0,,1,False,0.8422577777777778,2.7839046350934287,collision,
116,-39.0,48,0,,1,False,0.8412444444444445,1.4230767296006281,collision,
117,-34.0,63,0,,1,False,0.8399144444444444,1.87714989533027,collision,
118,-31.0,81,0,,1,False,0.8382044444444444,1.4068135129553931,collision,
119,-30.0,64,0,,1,False,0.8368533333333333,1.699042120249942,collision,
120,-56.0,51,0,,1,False,0.8357766666666666,2.170469201480349,collision,
121,-65.0,51,0,,1,False,0.8347,1.5053947822978864,collision,
122,-48.0,89,0,,1,False,0.8328211111111111,1.437223136763681,collision,
123,-47.0,62,0,,1,False,0.8315122222222222,1.9265634543262422,collision,
124,-53.0,65,0,,1,False,0.83014,1.7854916716460139,collision,
125,-33.0,118,0,,1,False,0.8276488888888889,1.9668918422112862,collision,
126,-28.0,63,0,,1,False,0.8263188888888889,2.4731236517429354,collision,
127,-15.0,70,0,,1,False,0.8248411111111111,2.210407785450419,collision,
128,-73.0,40,0,,1,False,0.8239966666666667,1.8275637216866016,collision,
129,-73.0,37,0,,1,False,0.8232155555555556,1.4691406024826899,collision,
130,-9.0,104,0,,1,False,0.82102,1.9910130793085465,collision,
131,-17.0,71,0,,1,False,0.8195211111111111,1.7623134603103001,collision,
132,-73.0,35,0,,1,False,0.8187822222222222,1.6277515697810385,collision,
133,-31.0,56,0,,1,False,0.8176,2.700424857969795,collision,
134,-62.0,47,0,,1,False,0.8166077777777778,1.38110847432505,collision,
135,-54.0,58,0,,1,False,0.8153833333333333,2.3805468728144965,collision,
136,-67.0,38,0,,1,False,0.8145811111111111,1.5927562697066202,collision,
137,-30.0,67,0,,1,False,0.8131666666666667,2.2725286645924343,collision,
138,-36.0,60,0,,1,False,0.8119000000000001,1.7134661619861922,collision,
139,-64.0,46,0,,1,False,0.8109288888888889,1.829686985661586,collision,
140,44.0,117,0,,1,False,0.8084588888888888,1.8809409611697854,collision,
141,28.0,101,0,,1,False,0.8063266666666666,1.6420053625106812,collision,
142,-67.0,38,0,,1,False,0.8055244444444445,1.9429366774857044,collision,
143,129.0,158,0,,1,False,0.8021888888888888,1.3551765580016832,collision,
144,215.0,215,0,,1,False,0.79765,1.78837727341387,collision,
145,-18.0,81,0,,1,False,0.79594,1.761257876083255,collision,
146,-61.0,66,0,,1,False,0.7945466666666667,2.0983487805899452,collision,
147,-68.0,55,0,,1,False,0.7933855555555556,2.1181559121379485,collision,
148,182.0,192,0,,1,False,0.7893322222222222,1.8720153397880495,collision,
149,-62.0,43,0,,1,False,0.7884244444444445,1.8132919933308254,collision,
150,-52.0,56,0,,1,False,0.7872422222222222,1.0713588284062487,collision,
151,171.0,198,0,,1,False,0.7830622222222222,1.8461099676042796,collision,
152,-47.0,64,0,,1,False,0.7817111111111111,1.5909484131261706,collision,
153,-54.0,56,0,,1,False,0.7805288888888889,2.5300317449229106,collision,
154,-32.0,62,0,,1,False,0.77922,2.0991154755155246,collision,
155,-61.0,64,0,,1,False,0.7778688888888889,2.300335029605776,collision,
156,-31.0,66,0,,1,False,0.7764755555555556,1.7733133689445608,collision,
157,-27.0,67,0,,1,False,0.7750611111111111,2.198854277841747,collision,
158,-36.0,51,0,,1,False,0.7739844444444445,2.2078096605837345,collision,
159,1.0,96,0,,1,False,0.7719577777777777,1.3553743281712134,collision,
160,-14.0,77,0,,1,False,0.7703322222222222,2.213955709416615,collision,
161,-35.0,79,0,,1,False,0.7686644444444445,1.2868655402213336,collision,
162,-36.0,49,0,,1,False,0.76763,1.5864833537489176,collision,
163,199.0,209,0,,1,False,0.7632177777777778,1.9682329383520585,collision,
164,-44.0,50,0,,1,False,0.7621622222222222,1.888684446612994,collision,
165,106.0,164,0,,1,False,0.7587,1.8208194620362141,collision,
166,-26.0,63,0,,1,False,0.75737,1.7905416367575526,collision,
167,112.0,174,0,,1,False,0.7536966666666667,1.613058173032694,collision,
168,-32.0,60,0,,1,False,0.75243,1.6715675726532937,collision,
169,-19.0,80,0,,1,False,0.7507411111111111,1.033560835570097,collision,
170,23.0,114,0,,1,False,0.7483344444444444,1.5920391735331765,collision,
171,-32.0,64,0,,1,False,0.7469833333333333,1.42879713117145,collision,
172,10.0,75,0,,1,False,0.7454000000000001,2.180268490000775,collision,
173,-16.0,91,0,,1,False,0.7434788888888889,1.7888648401607166,collision,
174,-34.0,54,0,,1,False,0.7423388888888889,2.156280825712851,collision,
175,16.0,88,0,,1,False,0.7404811111111111,1.6652214835313233,collision,
176,214.0,230,0,,1,False,0.7356255555555555,1.683287814324885,collision,
177,135.0,162,0,,1,False,0.7322055555555556,1.985226089816268,collision,
178,-23.0,74,0,,1,False,0.7306433333333333,1.380822005785174,collision,
179,-4.0,98,0,,1,False,0.7285744444444444,1.6839018878340721,collision,
180,-22.0,89,0,,1,False,0.7266955555555557,1.813601074909622,collision,
181,-14.0,74,0,,1,False,0.7251333333333334,1.8980769891487925,collision,
182,-25.0,71,0,,1,False,0.7236344444444445,2.0105334099601295,collision,
183,-33.0,59,0,,1,False,0.722388888888889,0.9738683601220449,collision,
184,-53.0,57,0,,1,False,0.7211855555555555,1.3923406547733717,collision,
185,6.0,71,0,,1,False,0.7196866666666667,2.2367420858807034,collision,
186,-31.0,59,0,,1,False,0.7184411111111111,1.362324307858944,collision,
187,-43.0,53,0,,1,False,0.7173222222222222,2.138786889039553,collision,
188,-28.0,59,0,,1,False,0.7160766666666667,1.5372812320788702,collision,
189,-24.0,79,0,,1,False,0.7144088888888889,1.6480721969157457,collision,
190,-37.0,56,0,,1,False,0.7132266666666667,1.4346252184893404,collision,
191,-19.0,71,0,,1,False,0.7117277777777777,1.273796951507821,collision,
192,-26.0,84,0,,1,False,0.7099544444444446,2.3412990818421044,collision,
193,-19.0,68,0,,1,False,0.7085188888888889,1.3988734194461037,collision,
194,122.0,171,0,,1,False,0.7049088888888888,1.750963601608609,collision,
195,100.0,145,0,,1,False,0.7018477777777778,2.1869287161777415,collision,
196,-33.0,59,0,,1,False,0.7006022222222222,2.657008298734824,collision,
197,-32.0,55,0,,1,False,0.6994411111111112,1.1862483503563064,collision,
198,-7.0,86,0,,1,False,0.6976255555555555,1.6519094208876293,collision,
199,-32.0,67,0,,1,False,0.6962111111111111,2.036819734117564,collision,
200,137.0,171,0,,1,False,0.6926011111111111,1.94392437141302,collision,
201,-28.0,65,0,,1,False,0.6912288888888889,1.6485968572087586,collision,
202,-6.0,80,0,,1,False,0.68954,1.6327943716198206,collision,
203,-31.0,58,0,,1,False,0.6883155555555556,2.061339046557744,collision,
204,112.0,144,0,,1,False,0.6852755555555555,1.454353862752517,collision,
205,27.0,104,0,,1,False,0.68308,1.1923595588081157,collision,
206,56.0,133,0,,1,False,0.6802722222222222,2.2153962581898226,collision,
207,8.0,93,0,,1,False,0.6783088888888889,2.262987338654373,collision,
208,-59.0,47,0,,1,False,0.6773166666666667,1.9207402154182394,collision,
209,-34.0,68,0,,1,False,0.6758811111111112,1.4675171340213102,collision,
210,-13.0,72,0,,1,False,0.6743611111111112,3.013044714099831,collision,
211,-32.0,54,0,,1,False,0.6732211111111112,1.5152253531492674,collision,
212,128.0,156,0,,1,False,0.6699277777777778,1.7452946317692597,collision,
213,218.0,232,0,,1,False,0.66503,2.0431201615980985,collision,
214,170.0,181,0,,1,False,0.661208888888889,1.7255512012735656,collision,
215,-22.0,65,0,,1,False,0.6598366666666666,2.113305942621082,collision,
216,-9.0,79,0,,1,False,0.6581688888888889,1.7458344247192144,collision,
217,6.0,71,0,,1,False,0.6566700000000001,1.9854725327561884,collision,
218,-37.0,60,0,,1,False,0.6554033333333333,2.2711055646340053,collision,
219,-17.0,74,0,,1,False,0.6538411111111111,1.952699632236832,collision,
220,-16.0,83,0,,1,False,0.6520888888888889,1.859614870732739,collision,
221,-38.0,61,0,,1,False,0.6508011111111112,2.0175423165162405,collision,
222,-10.0,105,0,,1,False,0.6485844444444444,1.6448450857916703,collision,
223,84.0,133,0,,1,False,0.6457766666666667,1.627933891998096,collision,
224,-36.0,50,0,,1,False,0.6447211111111111,2.0619778839441447,collision,
225,-23.0,67,0,,1,False,0.6433066666666667,1.8365636147996958,collision,
226,323.0,275,0,,1,False,0.6375011111111111,1.7362769653691965,collision,
227,-25.0,65,0,,1,False,0.636128888888889,2.1163355169050835,collision,
228,22.0,88,0,,1,False,0.6342711111111112,2.374217091974887,collision,
229,157.0,178,0,,1,False,0.6305133333333333,1.8288648736409165,collision,
230,-10.0,79,0,,1,False,0.6288455555555557,1.411390544101596,collision,
