episode,reward,steps,laps,lap_time_steps,collisions,completed,epsilon,mean_loss,termination_reason,lap_time_seconds
1,-81.0,56,0,,1,False,0.9988177777777778,,collision,
2,-78.0,50,0,,1,False,0.9977622222222222,,collision,
3,-78.0,34,0,,1,False,0.9970444444444444,,collision,
4,-84.0,70,0,,1,False,0.9955666666666667,,collision,
5,-72.0,55,0,,1,False,0.9944055555555555,,collision,
6,-69.0,43,0,,1,False,0.9934977777777778,,collision,
7,-69.0,43,0,,1,False,0.99259,,collision,
8,-73.0,43,0,,1,False,0.9916822222222222,,collision,
9,-72.0,46,0,,1,False,0.9907111111111111,,collision,
10,-90.0,41,0,,1,False,0.9898455555555555,,collision,
11,-74.0,32,0,,1,False,0.98917,,collision,
12,-65.0,54,0,,1,False,0.98803,,collision,
13,-83.0,33,0,,1,False,0.9873333333333333,,collision,
14,-84.0,76,0,,1,False,0.9857288888888889,,collision,
15,-84.0,58,0,,1,False,0.9845044444444444,,collision,
16,-96.0,101,0,,1,False,0.9823722222222222,2.873736629883448,collision,
17,-75.0,43,0,,1,False,0.9814644444444445,1.7844619182023136,collision,
18,-85.0,72,0,,1,False,0.9799444444444444,3.490640878677368,collision,
19,-105.0,72,0,,1,False,0.9784244444444444,2.0374933497773275,collision,
20,-97.0,45,0,,1,False,0.9774744444444444,1.485321974212473,collision,
21,-77.0,36,0,,1,False,0.9767144444444444,3.6528022256162433,collision,
22,-75.0,46,0,,1,False,0.9757433333333333,2.2138618901371956,collision,
23,-79.0,59,0,,1,False,0.9744977777777778,2.2410785992940268,collision,
24,-71.0,45,0,,1,False,0.9735477777777778,2.6053674058480696,collision,
25,-74.0,46,0,,1,False,0.9725766666666666,1.8417220982638272,collision,
26,-79.0,60,0,,1,False,0.97131,1.8064223766326903,collision,
27,-76.0,34,0,,1,False,0.9705922222222222,1.8070986966292064,collision,
28,-74.0,41,0,,1,False,0.9697266666666666,2.2557095125317574,collision,
29,-88.0,46,0,,1,False,0.9687555555555556,2.91382226968805,collision,
30,-72.0,45,0,,1,False,0.9678055555555556,1.7352565608241342,collision,
31,-73.0,35,0,,1,False,0.9670666666666666,2.6078349666463003,collision,
32,-73.0,55,0,,1,False,0.9659055555555556,2.0946514296990175,collision,
33,-71.0,37,0,,1,False,0.9651244444444445,2.516131028532982,collision,
34,-84.0,43,0,,1,False,0.9642166666666667,1.5963615745306015,collision,
35,-84.0,42,0,,1,False,0.96333,1.4197378835894845,collision,
36,-77.0,47,0,,1,False,0.9623377777777777,2.3918500766158104,collision,
37,-75.0,41,0,,1,False,0.9614722222222223,3.0058124631643297,collision,
38,-70.0,65,0,,1,False,0.9601,2.59312254935503,collision,
39,-88.0,47,0,,1,False,0.9591077777777778,2.9235325381159782,collision,
40,-74.0,42,0,,1,False,0.9582211111111111,2.2249648377299307,collision,
41,-69.0,47,0,,1,False,0.9572288888888889,1.8663359135389328,collision,
42,-72.0,46,0,,1,False,0.9562577777777778,2.6517286027471223,collision,
43,-76.0,53,0,,1,False,0.9551388888888889,3.0410607858346057,collision,
44,-68.0,52,0,,1,False,0.9540411111111111,2.068518889638094,collision,
45,-82.0,39,0,,1,False,0.9532177777777778,2.659941227734089,collision,
46,-82.0,55,0,,1,False,0.9520566666666667,2.688368797302246,collision,
47,-78.0,65,0,,1,False,0.9506844444444444,2.0751792867394054,collision,
48,-68.0,56,0,,1,False,0.9495022222222222,1.9292457870074682,collision,
49,-75.0,43,0,,1,False,0.9485944444444444,2.4521687284111975,collision,
50,-71.0,43,0,,1,False,0.9476866666666667,1.6181469898332248,collision,
51,-71.0,45,0,,1,False,0.9467366666666667,1.5881523767655545,collision,
52,-74.0,54,0,,1,False,0.9455966666666666,1.5006383460547243,collision,
53,-72.0,37,0,,1,False,0.9448155555555555,2.075299307703972,collision,
54,-79.0,42,0,,1,False,0.9439288888888889,2.7126470296220346,collision,
55,-63.0,52,0,,1,False,0.9428311111111112,2.199296954159553,collision,
56,-74.0,72,0,,1,False,0.9413111111111111,2.146608141147428,collision,
57,-81.0,33,0,,1,False,0.9406144444444444,1.5039237393066287,collision,
58,-76.0,35,0,,1,False,0.9398755555555556,2.3946426634987197,collision,
59,-79.0,37,0,,1,False,0.9390944444444445,2.7478697299957275,collision,
60,-99.0,87,0,,1,False,0.9372577777777777,2.1998731751333582,collision,
61,-63.0,52,0,,1,False,0.93616,2.157802841411187,collision,
62,-69.0,51,0,,1,False,0.9350833333333334,2.574459545314312,collision,
63,-75.0,42,0,,1,False,0.9341966666666667,2.454404116354205,collision,
64,-70.0,43,0,,1,False,0.9332888888888888,2.7342783016237346,collision,
65,-84.0,39,0,,1,False,0.9324655555555555,2.236594965060552,collision,
66,-71.0,52,0,,1,False,0.9313677777777778,1.58587846159935,collision,
67,-69.0,61,0,,1,False,0.93008,2.004276840481907,collision,
68,-78.0,29,0,,1,False,0.9294677777777778,2.8167797327041626,collision,
69,-74.0,34,0,,1,False,0.92875,1.49704257119447,collision,
70,-72.0,39,0,,1,False,0.9279266666666667,1.8540293246507644,collision,
71,-77.0,41,0,,1,False,0.9270611111111111,2.1733331315219404,collision,
72,-76.0,36,0,,1,False,0.9263011111111111,1.5115207218461566,collision,
73,-72.0,60,0,,1,False,0.9250344444444445,2.4255496963858603,collision,
74,-72.0,55,0,,1,False,0.9238733333333333,2.723576942192657,collision,
75,-81.0,62,0,,1,False,0.9225644444444444,1.9165354468859732,collision,
76,-70.0,49,0,,1,False,0.92153,1.9998320701221626,collision,
77,-74.0,48,0,,1,False,0.9205166666666666,2.2530567497015,collision,
78,-87.0,38,0,,1,False,0.9197144444444445,1.7091254716118176,collision,
79,-80.0,29,0,,1,False,0.9191022222222223,1.8956996174529195,collision,
80,-87.0,49,0,,1,False,0.9180677777777778,1.7066775597631931,collision,
81,-81.0,75,0,,1,False,0.9164844444444444,1.7770985094340224,collision,
