episode,reward,steps,laps,lap_time_steps,collisions,completed,epsilon,mean_loss,termination_reason,lap_time_seconds
1,-66.0,67,0,,1,False,0.997454,,collision,
2,-63.0,53,0,,1,False,0.99544,,collision,
3,-53.0,53,0,,1,False,0.993426,,collision,
4,-73.0,53,0,,1,False,0.991412,,collision,
5,-47.0,83,0,,1,False,0.988258,,collision,
6,-25.0,63,0,,1,False,0.985864,,collision,
7,-39.0,71,0,,1,False,0.983166,,collision,
8,-80.0,49,0,,1,False,0.981304,,collision,
9,-32.0,58,0,,1,False,0.9791,3.4616463367755594,collision,
10,-68.0,50,0,,1,False,0.9772,1.7063504984745612,collision,
11,-59.0,98,0,,1,False,0.973476,2.095501488695542,collision,
12,-55.0,56,0,,1,False,0.971348,1.9935536214283534,collision,
13,-69.0,53,0,,1,False,0.969334,0.8090715419787627,collision,
14,-30.0,69,0,,1,False,0.966712,2.0288574828041925,collision,
15,-63.0,62,0,,1,False,0.964356,1.8624483853578568,collision,
16,-54.0,52,0,,1,False,0.96238,1.9172564389613957,collision,
17,-63.0,61,0,,1,False,0.960062,1.5848914464314778,collision,
18,-68.0,36,0,,1,False,0.958694,2.3431380920939975,collision,
19,-68.0,40,0,,1,False,0.957174,1.895936092734337,collision,
20,-62.0,110,0,,1,False,0.952994,1.661914405546018,collision,
21,-22.0,68,0,,1,False,0.95041,2.5594892352819443,collision,
22,-69.0,66,0,,1,False,0.947902,1.9079699479043484,collision,
23,-60.0,46,0,,1,False,0.946154,2.1755947122971215,collision,
24,-25.0,67,0,,1,False,0.943608,2.185297221821897,collision,
25,-27.0,69,0,,1,False,0.940986,2.276716298478491,collision,
26,-66.0,42,0,,1,False,0.9393900000000001,2.3945389583706858,collision,
27,-71.0,58,0,,1,False,0.937186,1.5769280816117923,collision,
28,-63.0,71,0,,1,False,0.934488,1.8281157347891066,collision,
29,-58.0,69,0,,1,False,0.931866,1.8429249599575996,collision,
30,-36.0,57,0,,1,False,0.9297,2.202321824218546,collision,
31,-22.0,90,0,,1,False,0.92628,1.7915300221546837,collision,
32,-68.0,43,0,,1,False,0.924646,2.0176105707883836,collision,
33,-7.0,99,0,,1,False,0.920884,1.7099641472101212,collision,
34,-61.0,77,0,,1,False,0.917958,2.0871563326371345,collision,
35,-29.0,68,0,,1,False,0.915374,1.6835122158860458,collision,
36,-35.0,52,0,,1,False,0.913398,1.2395810696941156,collision,
