episode,reward,steps,laps,lap_time_steps,collisions,completed,epsilon,mean_loss,termination_reason,lap_time_seconds
721,133.0,139,0,,1,False,0.050000000000000044,,collision,
722,8.0,74,0,,1,False,0.050000000000000044,,collision,
723,589.0,256,1,256,0,True,0.050000000000000044,,lap_complete,4.266666666666667
724,589.0,257,1,257,0,True,0.050000000000000044,,lap_complete,4.283333333333333
725,7.0,73,0,,1,False,0.050000000000000044,1.25189215861834,collision,
726,130.0,136,0,,1,False,0.050000000000000044,1.8135346384609448,collision,
727,3.0,69,0,,1,False,0.050000000000000044,1.7188892206724953,collision,
728,139.0,145,0,,1,False,0.050000000000000044,1.739242058661249,collision,
729,7.0,73,0,,1,False,0.050000000000000044,1.4616849256886377,collision,
730,8.0,74,0,,1,False,0.050000000000000044,2.4997417675821403,collision,
731,594.0,260,1,260,0,True,0.050000000000000044,1.7829791289109451,lap_complete,4.333333333333333
732,596.0,262,1,262,0,True,0.050000000000000044,1.6799913802972206,lap_complete,4.366666666666666
733,-1771.0,937,0,,1,False,0.050000000000000044,1.5883778005204303,collision,
734,588.0,254,1,254,0,True,0.050000000000000044,1.60494692836489,lap_complete,4.233333333333333
735,601.0,267,1,267,0,True,0.050000000000000044,1.5865274485367447,lap_complete,4.45
736,588.0,258,1,258,0,True,0.050000000000000044,1.4729201905429363,lap_complete,4.3
737,-47.0,39,0,,1,False,0.050000000000000044,2.089937907457352,collision,
738,36.0,82,0,,1,False,0.050000000000000044,1.6446260738940466,collision,
739,135.0,142,0,,1,False,0.050000000000000044,2.2122450726372853,collision,
740,33.0,79,0,,1,False,0.050000000000000044,1.9872934937477111,collision,
741,34.0,80,0,,1,False,0.050000000000000044,1.4904467344284058,collision,
742,139.0,145,0,,1,False,0.050000000000000044,1.6569012784295611,collision,
743,-44.0,42,0,,1,False,0.050000000000000044,1.1256516020406375,collision,
744,135.0,141,0,,1,False,0.050000000000000044,1.7295326266969953,collision,
745,-40.0,46,0,,1,False,0.050000000000000044,2.333964467048645,collision,
746,139.0,150,0,,1,False,0.050000000000000044,1.7570760359889583,collision,
747,9.0,75,0,,1,False,0.050000000000000044,1.9560939528440173,collision,
748,588.0,258,1,258,0,True,0.050000000000000044,1.8384131928905845,lap_complete,4.3
749,33.0,79,0,,1,False,0.050000000000000044,1.8904348134994506,collision,
750,-41.0,48,0,,1,False,0.050000000000000044,2.6347972601652145,collision,
751,143.0,161,0,,1,False,0.050000000000000044,2.082595336437225,collision,
752,598.0,265,1,265,0,True,0.050000000000000044,1.885244722167651,lap_complete,4.416666666666667
753,143.0,154,0,,1,False,0.050000000000000044,1.8158596310860071,collision,
754,122.0,170,0,,1,False,0.050000000000000044,2.1228517315217426,collision,
755,595.0,261,1,261,0,True,0.050000000000000044,1.7452001973535076,lap_complete,4.35
756,136.0,142,0,,1,False,0.050000000000000044,1.9843909416879926,collision,
757,145.0,152,0,,1,False,0.050000000000000044,2.353466975061517,collision,
758,140.0,146,0,,1,False,0.050000000000000044,1.8715384658929464,collision,
759,595.0,261,1,261,0,True,0.050000000000000044,1.9248459371236655,lap_complete,4.35
760,-38.0,48,0,,1,False,0.050000000000000044,2.3705767740805945,collision,
761,152.0,158,0,,1,False,0.050000000000000044,2.0113474558561277,collision,
762,608.0,285,1,285,0,True,0.050000000000000044,2.235702266295751,lap_complete,4.75
763,-37.0,56,0,,1,False,0.050000000000000044,1.9250679399285997,collision,
764,626.0,306,1,306,0,True,0.050000000000000044,2.116572828669297,lap_complete,5.1
765,147.0,155,0,,1,False,0.050000000000000044,1.6869439818920233,collision,
766,640.0,331,1,331,0,True,0.050000000000000044,2.033748120428568,lap_complete,5.516666666666667
767,-40.0,46,0,,1,False,0.050000000000000044,2.2649831121618096,collision,
768,-34.0,52,0,,1,False,0.050000000000000044,2.285177414233868,collision,
769,635.0,306,1,306,0,True,0.050000000000000044,2.066272994140526,lap_complete,5.1
770,178.0,198,0,,1,False,0.050000000000000044,2.0901127761724045,collision,
771,158.0,164,0,,1,False,0.050000000000000044,2.182046823385285,collision,
772,-31.0,55,0,,1,False,0.050000000000000044,1.990373935018267,collision,
773,614.0,283,1,283,0,True,0.050000000000000044,2.1808787727020156,lap_complete,4.716666666666667
774,82.0,201,0,,1,False,0.050000000000000044,2.0878290402889252,collision,
775,153.0,159,0,,1,False,0.050000000000000044,1.9405923768877984,collision,
776,-34.0,52,0,,1,False,0.050000000000000044,2.2844827358539286,collision,
777,180.0,166,0,,1,False,0.050000000000000044,2.0139038366515463,collision,
778,171.0,180,0,,1,False,0.050000000000000044,2.1391703367233275,collision,
779,141.0,174,0,,1,False,0.050000000000000044,2.4320939142595637,collision,
780,-26.0,60,0,,1,False,0.050000000000000044,2.1603044629096986,collision,
781,158.0,164,0,,1,False,0.050000000000000044,2.024247671045908,collision,
